조사년월,동태코드,물가지수,가중치
2015-05-01,30931101AA,96,1
2015-05-01,30722104AA,100,1
2015-05-01,30581102AA,98,1
2015-05-01,31213203AA,100,1
2015-05-01,30551101AA,99,1
2015-05-01,31211101AA,97,1
2015-05-01,30932101AA,99,1
2015-05-01,31311301AA,97,1
2015-05-01,31011101AA,97,1
2015-05-01,31012101AA,96,1
2015-05-01,30412301AA,116,1
2015-05-01,30322101AA,100,1
2015-05-01,30531101AA,104,1
2015-05-01,30712702AA,98,1
2015-05-01,30114201AA,99,1
2015-05-01,30581101AA,98,1
2015-05-01,30563302AA,101,1
2015-05-01,30521102AA,115,1
2015-05-01,31012303AA,96,1
2015-05-01,30571103AA,97,1
2015-05-01,31211301AA,97,1
2015-05-01,31213202AA,97,1
2015-05-01,31211103AA,97,1
2015-05-01,30911102AA,96,1
2015-05-01,30721302AA,113,1
2015-05-01,30722102AA,111,1
