조사년월,동태코드,물가지수,가중치
2015-04-01,30531AA,99,1
2015-04-01,309512AA,99,1
2015-04-01,31111AA,96,1
2015-04-01,31016AA,98,1
2015-04-01,310AA,97,1
2015-04-01,3101AA,97,1
2015-04-01,310161AA,97,1
2015-04-01,30551AA,96,1
2015-04-01,307121AA,98,1
2015-04-01,311121AA,96,1
2015-04-01,30932AA,98,1
2015-04-01,31115AA,97,1
2015-04-01,308142AA,0,1
2015-04-01,3091AA,100,1
2015-04-01,30712AA,100,1
2015-04-01,305811AA,98,1
2015-04-01,302211AA,98,1
2015-04-01,303221AA,98,1
2015-04-01,3072AA,103,1
2015-04-01,31011AA,97,1
2015-04-01,30711AA,96,1
2015-04-01,304131AA,102,1
2015-04-01,3081AA,98,1
2015-04-01,3131AA,97,1
2015-04-01,3071AA,100,1
2015-04-01,310163AA,98,1
2015-04-01,30941AA,97,1
2015-04-01,303AA,98,1
2015-04-01,312121AA,0,1
2015-04-01,312112AA,96,1
2015-04-01,313113AA,97,1
2015-04-01,30921AA,101,1
2015-04-01,31014AA,99,1
2015-04-01,3094AA,97,1
2015-04-01,307122AA,99,1
2015-04-01,313112AA,97,1
2015-04-01,307141AA,102,1
2015-04-01,309311AA,96,1
2015-04-01,310131AA,98,1
2015-04-01,30322AA,98,1
2015-04-01,3022AA,97,1
2015-04-01,310122AA,96,1
2015-04-01,304128AA,102,1
2015-04-01,10112AA,96,1
2015-04-01,101421AA,97,1
2015-04-01,311161AA,96,1
2015-04-01,3111AA,96,1
2015-04-01,309412AA,97,1
2015-04-01,101AA,96,1
2015-04-01,30931AA,96,1
2015-04-01,311162AA,95,1
2015-04-01,307214AA,102,1
2015-04-01,302132AA,95,1
2015-04-01,301142AA,100,1
2015-04-01,31312AA,96,1
2015-04-01,30962AA,96,1
2015-04-01,309413AA,97,1
2015-04-01,307112AA,96,1
2015-04-01,30722AA,101,1
2015-04-01,309AA,100,1
2015-04-01,305211AA,104,1
2015-04-01,308AA,98,1
2015-04-01,3052AA,103,1
2015-04-01,1011AA,96,1
2015-04-01,31113AA,97,1
2015-04-01,3011AA,98,1
2015-04-01,30624AA,96,1
2015-04-01,3053AA,99,1
2015-04-01,30951AA,98,1
2015-04-01,30117AA,0,1
2015-04-01,31124AA,98,1
2015-04-01,311256AA,96,1
2015-04-01,304AA,108,1
2015-04-01,101411AA,90,1
2015-04-01,308143AA,97,1
2015-04-01,305622AA,98,1
2015-04-01,309211AA,101,1
2015-04-01,310141AA,99,1
