title,channel_name,views,subs,publish_time,channel_id,video_id
기발한 알로에 베라 뷰티 꿀팁 || 멋진 공예와 천연 미용 팁! 123 GO!의 여성들의 문제,123 GO! Korean,55666,446000,2022-04-11T09:00:06Z,UCU-7SdeUYlujznoTRHDttew,FQLPL8x6n-E
멋진 모습을 꾸밀 수 있는 최고의 뷰티 팁,5 분 Tricks,29000,3860000,2022-04-10T11:00:24Z,UC03jtg6Imz882ZCPnB7bZ0w,xg7ebbCwI8o
"완벽한 지속력을 위한, 마이뷰티아이즈 글램 몬스터 글루 MyBeautyEyes Glam Monster Glue",Mybeautyeyes마이뷰티아이즈,397,10600,2022-04-01T02:00:01Z,UCwCkRdD70GEMBdNPp8V_UiQ,5IJ0OyxXWz4
"[메이플스토리 맑음] 2022 뷰티어워즈 시작! 일년에 딱 한번만 진행하는 스페셜 이벤트 (투표 기간 / 뷰티어워즈 헤어,성형 목록 / 판매기간 / 가격 정리)",메이플스토리맑음,61630,165000,2022-04-28T03:05:11Z,UC1dHu9GhbHH7RcHKyJdaOvA,wcqs_sd2Ai4
선진뷰티사이언스 / 화성밸브 / 한신기계 / 아이에스이커머스 / 오토앤 / 룽투코리아 / 하인크코리아 / 드래곤플라이 / GS글로벌 / 일진홀딩스 / 알에스오토메이션 / 연우,블루넌주식TV,677,6300,2022-04-22T14:06:21Z,UCuR4Vvar9DE0O_UGPsAidhw,uEic3J9QNnA
Amazing hairstyle transformation AND BEAUTY TREATMENTS/놀라운 헤어스타일 변신과 뷰티 트리트먼트, MAGA 12K,1478,40600,2022-04-20T11:16:33Z,UCWdp3srfVWl7U2NDacxQKQg,bMIWqRhFWR0
점막 아이라인 교육 일부 영상 _ 제이엠뷰티솔루션스 / JM뷰티솔루션스 / JM beauty solutions,JM Beauty Solutions JM뷰티솔루션스,548,27200,2022-04-18T02:10:12Z,UCT0dGzgWF_WtcgzV49wqaqg,HmiTFHXZ2cs
토탈뷰티샵창업/왁싱샵창업/반영구샵창업/뷰티샵마케팅/뷰티샵인테리어/뷰티샵매출,라온더뷰티raon지혜,720,40,2022-04-14T03:15:03Z,UCRQnKekv3IEc2CvrT0Cgt5w,rnn7rxTpRFo
청담동 뷰티샵 원장이 알려주는 뷰티 정보! 수강&amp;샵운영이 고민이라면? (feat. 스터닝슬비),STUNNING슬비,440,65,2022-04-21T06:06:26Z,UCDxHEm5-G97KYdzKTMC_BBA,aNC3qMK0tRY
"[랜선뷰티] KMZ 특파원 베스티의 NO마스크 시대 대비, 스킨 패드 200% 활용법!",Kstar,74,,2022-05-11T12:00:07Z,UCAIAn1gmUWEukE2e5BQ0Zew,GJpiL0AsWGs
"올리브영 추천템 비건뷰티ver (진정대박 수분크림, N통째 쓰는 토너패드, 맨날 쓰는 선크림, 최근 최애 프라이머, 커버력 쩌는 쿠션, 복숭아 빛 립틴트) | 쏭비SSONGBEE",쏭비SSONGBEE,8936,14300,2022-04-30T11:40:02Z,UCR19aHW_92TAKGLoTH01Z7w,vnpHUhZQiuc
독일피엠 마시는 콜라겐 &#39;뷰티&#39; 알아보기 sp1,미라클러MTV,53,722,2022-04-17T07:04:52Z,UCbcbeqp23YOGGoNE7ytXo4g,pK7os7_eUKs
⚽️뷰티월드컵⚽️ 쿠션편!! 1위 쿠션은 뭘까?!,Yoo True,170880,520000,2022-05-18T14:21:50Z,UCH2mJnztSdNh8ADp2KmtUMQ,IKQcBg-b5Uk
"eng/jpn) 뷰티유튜버의 100% 현실 촬영 비하인드🫥📽 세팅, 가발, 소품, 클렌징까지🛁",안다 ANDA,33645,750000,2022-04-16T11:00:02Z,UCn_fZLXut_Tj9-QihG_9l0g,06dyBKtGl2Q
"샵에 간다고? 난 집에서 한다! 💅🏻 효과 만점 뷰티 팁 19가지! 치아 미백, 스킨 케어부터 네일아트까지!",더팁,2106,199000,2022-04-16T11:00:16Z,UC4HisgbkrJiPM3GxMuFtAEg,bD5N7dGBjRk
"한 번도 들어본 적 없는 예상치 못한 뷰티 팁 l 스킨케어, 손톱, 머리",5분 Tricks DIY,1262,196000,2022-05-21T06:00:03Z,UCC-doNGXEByEzagvsQblFEw,C95Ys-_XHr4
달님아 놀자 #06 | 뷰티놀이 | 반짝반짝 달님이 | 화장하기 | 옷입히기 | 모바일 게임,반짝반짝 달님이 Dalimi_Animation,10653,24300,2022-04-01T09:42:01Z,UCXB3QDMncTKZFsGrd11zviw,2Ot6bVFoMoI
“쿠팡에선 DIY 뷰티템을 살 수 있다?” 프로쿠팡러들을 놀라게 한 프로젝트의 정체,쿠팡 뉴스룸,142768,,2022-04-22T10:21:49Z,UC7J0YX4VwDVlsQiHLtDqpzQ,SnvAE8SFOP0
상장 앞둔 에이피알 &#39;뷰티계 애플&#39; 꿈꾼다,BloterTV,406,6790,2022-05-04T09:38:33Z,UCfCyktz09_RnCzW8uwrRP9Q,1qusn0DQwj4
(ENG) 웃기려고 겟잇뷰티 나온 아스트로와 함께 섀도우 최강자 뽑기 [겟잇뷰티 CLEAN] EP.15,tvN D STUDIO,407298,1890000,2022-04-28T10:00:11Z,UCLQ_lTDcNOj7VzNeW0kZ17w,JlSDde7sFEo
🎁경품이벤트 진행중🎁 뷰티를 구독해~ 지금 가장 트렌디한 뷰티쇼! #랜선뷰티,Kstar,2009,,2022-04-21T06:21:47Z,UCAIAn1gmUWEukE2e5BQ0Zew,tn-um6aLrQM
"백뷰티 속눈썹 펌 글루 대신 사용하는 부스터 밤 테스트 영상이에요‼️ 노글루펌,노글루 수분펌,속눈썹 수분밤",백원장 뷰티샵,1763,3740,2022-04-09T18:26:13Z,UCimQmG5G4SUF4BWABl0OXiw,etVGjWA8kKE
오우 굿😂👍🏻 #beauty #makeup #luabeauty #메이크업 #뷰티#뷰티꿀팁 #루아뷰티,luadoll 루아LuA,5784,2800,2022-05-14T13:07:33Z,UCGyIQ6Er5ECt4z8_tk2SYhw,aVWg7Jq2m3I
"sub) 청담동 메이크업샵 추천템 그대로 구매해봄..! (커버력 높은 파운데이션, 번짐없는 아이라이너, 영롱한 글리터, 쟁여두는 가닥 속눈썹)",뷰티숨BEAUTYSOOM,303200,133000,2022-04-13T15:23:44Z,UCLyq1gz11P-IYFmP093JaAw,BhITggQoc28
이제 화장품도 OO한다?! (feat. 올리브영 비건뷰티),채널CJ,2744,,2022-05-03T04:33:49Z,UCu8-tZy6e7S7K5imEZSJVZg,2n2TsPyev_0
[VLOG] 뷰티소다가 다이어트를 한다면?! 소다의 일생활 일부 공개!💗✌🏻 셀프 젤 네일까지! 다이어트 vlog 1편,뷰티 소다 beauty SODA,2515,12900,2022-04-13T09:00:10Z,UCDsT0mOKEnDSkjcxn6gmMvQ,Bc4LmqPnKUQ
"(ENG) 유명하지만 그래도 다시 한 번 소개합니다, &#39;바&#39;르면 &#39;달&#39;라질 그 제품! [겟잇뷰티CLEAN] EP.13",tvN D STUDIO,463465,1890000,2022-04-14T10:00:07Z,UCLQ_lTDcNOj7VzNeW0kZ17w,HgF6cuAW0RQ
"K-POP Trend Challenge, VIVIZ BOPBOP! 안무팁 ★제린(jerin) 뷰티박스 트렌드 챌린지 BeautyBox",여수MBC Music+(Kpop&Trot),618,667000,2022-04-04T12:00:24Z,UCwIiyFphTd-eTeLBvh8riNw,xLJ_bq8GPEQ
아쌉뷰티 5화 | 소셜 빅데이터로 분석한 2022 K-뷰티 트렌드ㅣ비건화장품 브랜드 추천,바이브VAIV,1050,1700,2022-04-22T07:00:18Z,UCe-PKPEl2nkwrC__8Qy1HUg,e5T1sdFt7MI
220401 클린업뷰티 인스타라이브 NOT FULL 로운 SF9,CHEEZ_B,1582,210,2022-04-01T11:14:26Z,UCttHJ8oEcsqDp80_p_oHvrQ,6i8NeEq74Yc
엠마 겟잇뷰티,김딸기려원,5878,3850,2022-04-12T21:36:04Z,UCu5UJUPUBX2IRi_utWswaLA,lpxFImDVbAs
